Song Name,Artist Names,Artist Genre,Is Lofi?,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Lost in Florence,Kendall Miles,"['chillhop', 'lo-fi beats']",True,0.684,0.295,4,-12.773,1,0.077,0.563,0.5770000000000001,0.111,0.47,118.009,92271,4
Lullabyes,Aviscerall,[],False,0.674,0.648,10,-10.901,1,0.0423,0.88,0.9159999999999999,0.0985,0.32899999999999996,85.01700000000001,163814,4
omph,st1cky,[],False,0.728,0.301,7,-14.017000000000001,1,0.305,0.569,0.853,0.10400000000000001,0.792,84.839,106500,4
Cherry Blossom,goosetaf,"['chillhop', 'lo-fi beats']",True,0.675,0.49200000000000005,6,-6.685,1,0.341,0.937,0.91,0.106,0.35200000000000004,70.618,152113,4
Go off the Deep End,Utopiaboy,[],False,0.531,0.256,4,-14.345,1,0.0459,0.21,9.87e-05,0.10099999999999999,0.34700000000000003,180.00900000000001,152000,4
Southern Feelings,Sambastic,[],False,0.8340000000000001,0.405,4,-11.788,0,0.0887,0.474,0.853,0.10300000000000001,0.304,155.964,135769,4
Sabrina,PawnShop Guy,[],False,0.833,0.177,1,-19.641,0,0.0965,0.397,0.9420000000000001,0.0823,0.12,139.97899999999998,99429,4
Smokey,Crate Diggers,[],False,0.767,0.22399999999999998,4,-11.05,1,0.0528,0.684,0.929,0.109,0.9470000000000001,128.048,90000,4
Dark Life,Justin Element,[],False,0.679,0.124,11,-14.575,0,0.138,0.32899999999999996,0.264,0.0862,0.0949,79.97800000000001,120000,4
Magic Ears,Tissi,[],False,0.6409999999999999,0.28,3,-13.989,1,0.102,0.83,0.9129999999999999,0.114,0.14300000000000002,168.06400000000002,120007,4
Up We Go,DGHTR,[],False,0.722,0.5429999999999999,2,-12.113,1,0.069,0.46299999999999997,0.7,0.0479,0.456,85.036,138353,4
Bubbly,Altroid,[],False,0.637,0.261,9,-11.380999999999998,1,0.0859,0.9420000000000001,0.905,0.17800000000000002,0.8109999999999999,75.142,182741,4
Chips,Beat Oven,[],False,0.725,0.434,6,-8.767999999999999,1,0.192,0.0911,0.789,0.11900000000000001,0.9570000000000001,179.93599999999998,90667,4
Happy Friday,Carl Down,[],False,0.767,0.172,11,-18.683,1,0.0667,0.42200000000000004,0.158,0.0845,0.285,135.884,116471,4
Jazzy Afternoon,Codename Chinadoll,[],False,0.6679999999999999,0.321,10,-11.569,1,0.109,0.878,0.94,0.122,0.0913,90.025,106687,4
cayenne,vibe academy,[],False,0.742,0.474,0,-11.895999999999999,1,0.18100000000000002,0.659,0.945,0.573,0.489,160.05200000000002,105000,4
basilicum,sound butler,[],False,0.6459999999999999,0.5589999999999999,9,-7.784,0,0.10800000000000001,0.763,0.789,0.6729999999999999,0.272,180.058,132667,4
Late Shift,PawnShop Guy,[],False,0.794,0.2,1,-22.699,1,0.0881,0.302,0.866,0.11199999999999999,0.0396,139.954,110571,4
Pizza,Statistix,['lo-fi beats'],True,0.8420000000000001,0.29,11,-12.099,0,0.121,0.228,0.904,0.114,0.405,79.985,212079,4
something easy,In Love With a Ghost,"['kawaii future bass', 'lo-fi beats']",True,0.895,0.172,8,-25.24,1,0.0774,0.319,0.812,0.0828,0.922,119.958,62000,1
Wumbo,Harris Cole,"['chillhop', 'lo-fi beats']",True,0.688,0.304,1,-21.340999999999998,0,0.318,0.282,0.807,0.0733,0.452,82.95700000000001,121446,4
Springtime,j^p^n,['lo-fi beats'],True,0.575,0.226,5,-12.545,1,0.08800000000000001,0.535,0.0,0.34700000000000003,0.395,119.984,120000,3
3PM,HM Surf,['lo-fi beats'],True,0.861,0.0268,6,-22.585,1,0.0622,0.812,0.9359999999999999,0.11800000000000001,0.364,128.029,135000,4
Cordon Bleu,G R I Z,[],False,0.713,0.34299999999999997,1,-12.350999999999999,0,0.0331,0.382,0.38299999999999995,0.26,0.389,112.861,141442,4
Roomies,Glimlip,"['chillhop', 'lo-fi beats']",True,0.785,0.449,4,-9.812999999999999,0,0.172,0.758,0.8220000000000001,0.235,0.506,83.961,140000,4
Fireplace,iamalex,"['chillhop', 'lo-fi beats']",True,0.873,0.637,6,-6.656000000000001,0,0.303,0.171,0.00047000000000000004,0.0758,0.705,88.98299999999999,137528,4
watashi,Houch,['lo-fi beats'],True,0.7609999999999999,0.35200000000000004,1,-12.724,1,0.182,0.777,0.0796,0.113,0.593,76.994,75293,4
summer nights.,halberd,['lo-fi beats'],True,0.782,0.127,7,-20.939,1,0.6679999999999999,0.9390000000000001,0.7809999999999999,0.125,0.39,83.98899999999999,84315,4
